problem,boxes,patients,locations,plan_length,expanded,evaluated,generated,search_time, patient_near
pb_16box1patient3units2loc,16,1,2,113,1914,1915,63142938,0.113793,False
pb_20box1patient3units2loc,20,1,2,141,2758,2759,63319285,0.228111,False
pb_8box1patient3units2loc,8,1,2,57,653,654,6314375,0.022933,False
pb_3box1patient3units10loc,3,1,10,58,1169,1221,636405,0.028654,False
pb_3box1patient3units3loc,3,1,3,34,569,634,633480,0.014886,False
pb_3box1patient3units4loc,3,1,4,32,720,785,634249,0.016250,False
pb_3box1patient3units5loc,3,1,5,36,872,937,635012,0.018583,False
pb_3box1patient3units6loc,3,1,6,40,1005,1070,635676,0.020331,False
pb_3box1patient3units7loc,3,1,7,44,1144,1209,636374,0.022128,False
pb_3box1patient3units8loc,3,1,8,48,967,1020,635373,0.021996,False
pb_3box1patient3units9loc,3,1,9,54,1065,1117,635878,0.112802,False
pb_3box2patient3units2loc,3,2,2,29,135799,167603,63721427,1.696391,False
pb_3box3patient3units2loc,3,3,2,,0,1,630,0.004624,False
pb_3box4patient3units2loc,3,4,2,41,2176834,2647249,6312383517,33.512598,False   
pb_3box5patient3units2loc,3,5,2,Na,Na,Na,Na,Na,False
pb_3box1patient_near3units2loc,3,1,2,22,458,540,632969,0.013645,True
pb_3box2patient_near3units2loc,3,2,2,26,595,693,633753,0.015839,True
pb_3box3patient_near3units2loc,3,3,2,30,3172,3766,6320036,0.051033,True
pb_3box4patient_near3units2loc,3,4,2,34,260589,323190,631473474,3.837303,True
pb_3box5patient_near3units2loc,3,5,2,38,661004,819382,633757937,9.403567,True
pb_3box6patient_near3units2loc,3,6,2,42,1452006,1800108,638291005,25.048916,True
pb_3box7patient_near3units2loc,3,7,2,46,3136903,3886514,6318023623,51.487729,True
pb_3box8patient_near3units2loc,3,8,2,50,6778232,8398655,6339045861,125.255141,True
